AcademicYear,AggregateLevel,CountyCode,DistrictCode,SchoolCode,CountyName,DistrictName,SchoolName,CharterYN,ReportingCategory,CumulativeEnrollment,Total Suspensions,Unduplicated Count of Students Suspended (Total),Unduplicated Count of Students Suspended (Defiance-Only),Suspension Rate (Total),Suspension Count Violent Incident (Injury),Suspension Count Violent Incident (No Injury),Suspension Count Weapons Possession,Suspension Count Illicit Drug-Related,Suspension Count Defiance-Only,Suspension Count Other Reasons
2024-25,D,30,73635,0,Orange,Saddleback Valley Unified,District Office,No,SH,2266,114,77,0,3.4,9,83,2,16,0,4
2024-25,D,30,73635,0,Orange,Saddleback Valley Unified,District Office,No,SS,10778,361,246,0,2.3,38,251,7,53,0,12
2024-25,D,30,73635,0,Orange,Saddleback Valley Unified,District Office,No,TA,23352,530,348,0,1.5,59,385,9,64,0,13
2024-25,D,30,66670,0,Orange,Santa Ana Unified,District Office,All,GF,19356,698,485,33,2.5,65,358,23,191,34,27
2024-25,D,30,66670,0,Orange,Santa Ana Unified,District Office,All,GM,20347,1515,894,66,4.4,113,754,78,397,87,86
2024-25,D,30,66670,0,Orange,Santa Ana Unified,District Office,All,GX,13,2,2,0,15.4,0,1,0,1,0,0
2024-25,D,30,66670,0,Orange,Santa Ana Unified,District Office,All,RA,725,13,11,0,1.5,2,6,1,3,0,1
2024-25,D,30,66670,0,Orange,Santa Ana Unified,District Office,All,RB,108,10,6,0,5.6,3,4,3,0,0,0
2024-25,D,30,66670,0,Orange,Santa Ana Unified,District Office,All,RD,62,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,66670,0,Orange,Santa Ana Unified,District Office,All,RF,99,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,66670,0,Orange,Santa Ana Unified,District Office,All,RH,38037,2150,1338,99,3.5,167,1078,96,577,121,111
2024-25,D,30,66670,0,Orange,Santa Ana Unified,District Office,All,RI,103,14,5,0,4.9,4,9,0,0,0,1
2024-25,D,30,66670,0,Orange,Santa Ana Unified,District Office,All,RP,55,4,2,0,3.6,1,0,0,3,0,0
2024-25,D,30,66670,0,Orange,Santa Ana Unified,District Office,All,RT,143,9,6,0,4.2,0,6,0,3,0,0
2024-25,D,30,66670,0,Orange,Santa Ana Unified,District Office,All,RW,384,15,13,0,3.4,1,10,1,3,0,0
2024-25,D,30,66670,0,Orange,Santa Ana Unified,District Office,All,SD,7114,628,337,22,4.7,47,383,19,109,28,42
2024-25,D,30,66670,0,Orange,Santa Ana Unified,District Office,All,SE,15259,1157,696,50,4.6,81,615,52,289,61,59
2024-25,D,30,66670,0,Orange,Santa Ana Unified,District Office,All,SF,353,69,32,3,9.1,10,45,2,7,3,2
2024-25,D,30,66670,0,Orange,Santa Ana Unified,District Office,All,SH,7845,589,357,35,4.6,54,288,30,142,44,31
2024-25,D,30,66670,0,Orange,Santa Ana Unified,District Office,All,SM,303,42,23,3,7.6,3,21,2,10,5,1
2024-25,D,30,66670,0,Orange,Santa Ana Unified,District Office,All,SS,35900,2138,1319,93,3.7,172,1073,99,566,115,113
2024-25,D,30,66670,0,Orange,Santa Ana Unified,District Office,All,TA,39716,2215,1381,99,3.5,178,1113,101,589,121,113
2024-25,D,30,66670,0,Orange,Santa Ana Unified,District Office,No,GF,17946,692,480,33,2.7,65,356,23,187,34,27
2024-25,D,30,66670,0,Orange,Santa Ana Unified,District Office,No,GM,18992,1495,882,66,4.6,108,740,78,397,87,85
2024-25,D,30,66670,0,Orange,Santa Ana Unified,District Office,No,GX,12,2,2,0,16.7,0,1,0,1,0,0
2024-25,D,30,66670,0,Orange,Santa Ana Unified,District Office,No,RA,711,13,11,0,1.5,2,6,1,3,0,1
2024-25,D,30,66670,0,Orange,Santa Ana Unified,District Office,No,RB,102,10,6,0,5.9,3,4,3,0,0,0
2024-25,D,30,66670,0,Orange,Santa Ana Unified,District Office,No,RD,51,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,66670,0,Orange,Santa Ana Unified,District Office,No,RF,97,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,66670,0,Orange,Santa Ana Unified,District Office,No,RH,35388,2124,1321,99,3.7,162,1062,96,573,121,110
2024-25,D,30,66670,0,Orange,Santa Ana Unified,District Office,No,RI,95,14,5,0,5.3,4,9,0,0,0,1
2024-25,D,30,66670,0,Orange,Santa Ana Unified,District Office,No,RP,50,4,2,0,4.0,1,0,0,3,0,0
2024-25,D,30,66670,0,Orange,Santa Ana Unified,District Office,No,RT,129,9,6,0,4.7,0,6,0,3,0,0
2024-25,D,30,66670,0,Orange,Santa Ana Unified,District Office,No,RW,327,15,13,0,4.0,1,10,1,3,0,0
2024-25,D,30,66670,0,Orange,Santa Ana Unified,District Office,No,SD,6738,626,335,22,5.0,47,381,19,109,28,42
2024-25,D,30,66670,0,Orange,Santa Ana Unified,District Office,No,SE,14394,1151,690,50,4.8,81,610,52,288,61,59
2024-25,D,30,66670,0,Orange,Santa Ana Unified,District Office,No,SF,330,69,32,3,9.7,10,45,2,7,3,2
2024-25,D,30,66670,0,Orange,Santa Ana Unified,District Office,No,SH,7746,586,355,35,4.6,54,285,30,142,44,31
2024-25,D,30,66670,0,Orange,Santa Ana Unified,District Office,No,SM,302,42,23,3,7.6,3,21,2,10,5,1
2024-25,D,30,66670,0,Orange,Santa Ana Unified,District Office,No,SS,33943,2112,1302,93,3.8,167,1057,99,562,115,112
2024-25,D,30,66670,0,Orange,Santa Ana Unified,District Office,No,TA,36950,2189,1364,99,3.7,173,1097,101,585,121,112
2024-25,D,30,66670,0,Orange,Santa Ana Unified,District Office,Yes,GF,1447,6,5,0,0.3,0,2,0,4,0,0
2024-25,D,30,66670,0,Orange,Santa Ana Unified,District Office,Yes,GM,1398,20,13,0,0.9,5,14,0,0,0,1
2024-25,D,30,66670,0,Orange,Santa Ana Unified,District Office,Yes,GX,*,*,*,*,*,*,*,*,*,*,*
2024-25,D,30,66670,0,Orange,Santa Ana Unified,District Office,Yes,RA,14,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,66670,0,Orange,Santa Ana Unified,District Office,Yes,RB,*,*,*,*,*,*,*,*,*,*,*
2024-25,D,30,66670,0,Orange,Santa Ana Unified,District Office,Yes,RD,12,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,66670,0,Orange,Santa Ana Unified,District Office,Yes,RF,*,*,*,*,*,*,*,*,*,*,*
2024-25,D,30,66670,0,Orange,Santa Ana Unified,District Office,Yes,RH,2728,26,18,0,0.7,5,16,0,4,0,1
2024-25,D,30,66670,0,Orange,Santa Ana Unified,District Office,Yes,RI,*,*,*,*,*,*,*,*,*,*,*
2024-25,D,30,66670,0,Orange,Santa Ana Unified,District Office,Yes,RP,*,*,*,*,*,*,*,*,*,*,*
2024-25,D,30,66670,0,Orange,Santa Ana Unified,District Office,Yes,RT,14,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,66670,0,Orange,Santa Ana Unified,District Office,Yes,RW,57,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,66670,0,Orange,Santa Ana Unified,District Office,Yes,SD,385,2,2,0,0.5,0,2,0,0,0,0
2024-25,D,30,66670,0,Orange,Santa Ana Unified,District Office,Yes,SE,893,6,6,0,0.7,0,5,0,1,0,0
2024-25,D,30,66670,0,Orange,Santa Ana Unified,District Office,Yes,SF,23,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,66670,0,Orange,Santa Ana Unified,District Office,Yes,SH,117,3,3,0,2.6,0,3,0,0,0,0
2024-25,D,30,66670,0,Orange,Santa Ana Unified,District Office,Yes,SM,*,*,*,*,*,*,*,*,*,*,*
2024-25,D,30,66670,0,Orange,Santa Ana Unified,District Office,Yes,SS,2029,26,18,0,0.9,5,16,0,4,0,1
2024-25,D,30,66670,0,Orange,Santa Ana Unified,District Office,Yes,TA,2846,26,18,0,0.6,5,16,0,4,0,1
2024-25,D,30,66696,0,Orange,Savanna Elementary,District Office,All,GF,869,9,3,0,0.3,0,8,0,1,0,0
2024-25,D,30,66696,0,Orange,Savanna Elementary,District Office,All,GM,934,23,16,0,1.7,1,22,0,0,0,0
2024-25,D,30,66696,0,Orange,Savanna Elementary,District Office,All,RA,252,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,66696,0,Orange,Savanna Elementary,District Office,All,RB,64,10,3,0,4.7,0,10,0,0,0,0
2024-25,D,30,66696,0,Orange,Savanna Elementary,District Office,All,RD,48,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,66696,0,Orange,Savanna Elementary,District Office,All,RF,94,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,66696,0,Orange,Savanna Elementary,District Office,All,RH,1089,14,11,0,1.0,1,13,0,0,0,0
2024-25,D,30,66696,0,Orange,Savanna Elementary,District Office,All,RI,*,*,*,*,*,*,*,*,*,*,*
2024-25,D,30,66696,0,Orange,Savanna Elementary,District Office,All,RP,18,1,1,0,5.6,0,1,0,0,0,0
2024-25,D,30,66696,0,Orange,Savanna Elementary,District Office,All,RT,70,2,2,0,2.9,0,1,0,1,0,0
2024-25,D,30,66696,0,Orange,Savanna Elementary,District Office,All,RW,166,5,2,0,1.2,0,5,0,0,0,0
2024-25,D,30,66696,0,Orange,Savanna Elementary,District Office,All,SD,278,14,8,0,2.9,1,13,0,0,0,0
2024-25,D,30,66696,0,Orange,Savanna Elementary,District Office,All,SE,561,2,2,0,0.4,0,2,0,0,0,0
2024-25,D,30,66696,0,Orange,Savanna Elementary,District Office,All,SF,14,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,66696,0,Orange,Savanna Elementary,District Office,All,SH,217,4,3,0,1.4,0,4,0,0,0,0
2024-25,D,30,66696,0,Orange,Savanna Elementary,District Office,All,SS,1495,27,17,0,1.1,1,26,0,0,0,0
2024-25,D,30,66696,0,Orange,Savanna Elementary,District Office,All,TA,1803,32,19,0,1.1,1,30,0,1,0,0
2024-25,D,30,66696,0,Orange,Savanna Elementary,District Office,No,GF,869,9,3,0,0.3,0,8,0,1,0,0
2024-25,D,30,66696,0,Orange,Savanna Elementary,District Office,No,GM,934,23,16,0,1.7,1,22,0,0,0,0
2024-25,D,30,66696,0,Orange,Savanna Elementary,District Office,No,RA,252,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,66696,0,Orange,Savanna Elementary,District Office,No,RB,64,10,3,0,4.7,0,10,0,0,0,0
2024-25,D,30,66696,0,Orange,Savanna Elementary,District Office,No,RD,48,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,66696,0,Orange,Savanna Elementary,District Office,No,RF,94,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,66696,0,Orange,Savanna Elementary,District Office,No,RH,1089,14,11,0,1.0,1,13,0,0,0,0
2024-25,D,30,66696,0,Orange,Savanna Elementary,District Office,No,RI,*,*,*,*,*,*,*,*,*,*,*
2024-25,D,30,66696,0,Orange,Savanna Elementary,District Office,No,RP,18,1,1,0,5.6,0,1,0,0,0,0
2024-25,D,30,66696,0,Orange,Savanna Elementary,District Office,No,RT,70,2,2,0,2.9,0,1,0,1,0,0
2024-25,D,30,66696,0,Orange,Savanna Elementary,District Office,No,RW,166,5,2,0,1.2,0,5,0,0,0,0
2024-25,D,30,66696,0,Orange,Savanna Elementary,District Office,No,SD,278,14,8,0,2.9,1,13,0,0,0,0
2024-25,D,30,66696,0,Orange,Savanna Elementary,District Office,No,SE,561,2,2,0,0.4,0,2,0,0,0,0
2024-25,D,30,66696,0,Orange,Savanna Elementary,District Office,No,SF,14,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,66696,0,Orange,Savanna Elementary,District Office,No,SH,217,4,3,0,1.4,0,4,0,0,0,0
2024-25,D,30,66696,0,Orange,Savanna Elementary,District Office,No,SS,1495,27,17,0,1.1,1,26,0,0,0,0
2024-25,D,30,66696,0,Orange,Savanna Elementary,District Office,No,TA,1803,32,19,0,1.1,1,30,0,1,0,0
2024-25,D,30,76893,0,Orange,SBE - Magnolia Science Academy Santa Ana,District Office,All,GF,247,3,3,0,1.2,0,1,0,2,0,0
2024-25,D,30,76893,0,Orange,SBE - Magnolia Science Academy Santa Ana,District Office,All,GM,303,8,8,0,2.6,0,5,0,1,0,2
2024-25,D,30,76893,0,Orange,SBE - Magnolia Science Academy Santa Ana,District Office,All,RA,15,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,76893,0,Orange,SBE - Magnolia Science Academy Santa Ana,District Office,All,RB,*,*,*,*,*,*,*,*,*,*,*
2024-25,D,30,76893,0,Orange,SBE - Magnolia Science Academy Santa Ana,District Office,All,RD,*,*,*,*,*,*,*,*,*,*,*
2024-25,D,30,76893,0,Orange,SBE - Magnolia Science Academy Santa Ana,District Office,All,RF,*,*,*,*,*,*,*,*,*,*,*
2024-25,D,30,76893,0,Orange,SBE - Magnolia Science Academy Santa Ana,District Office,All,RH,441,11,11,0,2.5,0,6,0,3,0,2
2024-25,D,30,76893,0,Orange,SBE - Magnolia Science Academy Santa Ana,District Office,All,RI,*,*,*,*,*,*,*,*,*,*,*
2024-25,D,30,76893,0,Orange,SBE - Magnolia Science Academy Santa Ana,District Office,All,RP,*,*,*,*,*,*,*,*,*,*,*
2024-25,D,30,76893,0,Orange,SBE - Magnolia Science Academy Santa Ana,District Office,All,RT,*,*,*,*,*,*,*,*,*,*,*
2024-25,D,30,76893,0,Orange,SBE - Magnolia Science Academy Santa Ana,District Office,All,RW,75,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,76893,0,Orange,SBE - Magnolia Science Academy Santa Ana,District Office,All,SD,109,4,4,0,3.7,0,3,0,0,0,1
2024-25,D,30,76893,0,Orange,SBE - Magnolia Science Academy Santa Ana,District Office,All,SE,149,2,2,0,1.3,0,2,0,0,0,0
2024-25,D,30,76893,0,Orange,SBE - Magnolia Science Academy Santa Ana,District Office,All,SF,*,*,*,*,*,*,*,*,*,*,*
2024-25,D,30,76893,0,Orange,SBE - Magnolia Science Academy Santa Ana,District Office,All,SH,33,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,76893,0,Orange,SBE - Magnolia Science Academy Santa Ana,District Office,All,SS,445,9,9,0,2.0,0,4,0,3,0,2
2024-25,D,30,76893,0,Orange,SBE - Magnolia Science Academy Santa Ana,District Office,All,TA,550,11,11,0,2.0,0,6,0,3,0,2
2024-25,D,30,76893,0,Orange,SBE - Magnolia Science Academy Santa Ana,District Office,Yes,GF,247,3,3,0,1.2,0,1,0,2,0,0
2024-25,D,30,76893,0,Orange,SBE - Magnolia Science Academy Santa Ana,District Office,Yes,GM,303,8,8,0,2.6,0,5,0,1,0,2
2024-25,D,30,76893,0,Orange,SBE - Magnolia Science Academy Santa Ana,District Office,Yes,RA,15,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,76893,0,Orange,SBE - Magnolia Science Academy Santa Ana,District Office,Yes,RB,*,*,*,*,*,*,*,*,*,*,*
2024-25,D,30,76893,0,Orange,SBE - Magnolia Science Academy Santa Ana,District Office,Yes,RD,*,*,*,*,*,*,*,*,*,*,*
2024-25,D,30,76893,0,Orange,SBE - Magnolia Science Academy Santa Ana,District Office,Yes,RF,*,*,*,*,*,*,*,*,*,*,*
2024-25,D,30,76893,0,Orange,SBE - Magnolia Science Academy Santa Ana,District Office,Yes,RH,441,11,11,0,2.5,0,6,0,3,0,2
2024-25,D,30,76893,0,Orange,SBE - Magnolia Science Academy Santa Ana,District Office,Yes,RI,*,*,*,*,*,*,*,*,*,*,*
2024-25,D,30,76893,0,Orange,SBE - Magnolia Science Academy Santa Ana,District Office,Yes,RP,*,*,*,*,*,*,*,*,*,*,*
2024-25,D,30,76893,0,Orange,SBE - Magnolia Science Academy Santa Ana,District Office,Yes,RT,*,*,*,*,*,*,*,*,*,*,*
2024-25,D,30,76893,0,Orange,SBE - Magnolia Science Academy Santa Ana,District Office,Yes,RW,75,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,76893,0,Orange,SBE - Magnolia Science Academy Santa Ana,District Office,Yes,SD,109,4,4,0,3.7,0,3,0,0,0,1
2024-25,D,30,76893,0,Orange,SBE - Magnolia Science Academy Santa Ana,District Office,Yes,SE,149,2,2,0,1.3,0,2,0,0,0,0
2024-25,D,30,76893,0,Orange,SBE - Magnolia Science Academy Santa Ana,District Office,Yes,SF,*,*,*,*,*,*,*,*,*,*,*
2024-25,D,30,76893,0,Orange,SBE - Magnolia Science Academy Santa Ana,District Office,Yes,SH,33,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,76893,0,Orange,SBE - Magnolia Science Academy Santa Ana,District Office,Yes,SS,445,9,9,0,2.0,0,4,0,3,0,2
2024-25,D,30,76893,0,Orange,SBE - Magnolia Science Academy Santa Ana,District Office,Yes,TA,550,11,11,0,2.0,0,6,0,3,0,2
2024-25,D,30,73643,0,Orange,Tustin Unified,District Office,All,GF,10670,140,118,0,1.1,10,97,1,31,0,1
2024-25,D,30,73643,0,Orange,Tustin Unified,District Office,All,GM,11450,356,252,2,2.2,24,225,18,64,2,23
2024-25,D,30,73643,0,Orange,Tustin Unified,District Office,All,GX,16,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,73643,0,Orange,Tustin Unified,District Office,All,RA,5035,32,24,0,0.5,5,20,1,4,0,2
2024-25,D,30,73643,0,Orange,Tustin Unified,District Office,All,RB,338,35,24,0,7.1,2,30,1,0,0,2
2024-25,D,30,73643,0,Orange,Tustin Unified,District Office,All,RD,116,2,2,0,1.7,0,1,0,1,0,0
2024-25,D,30,73643,0,Orange,Tustin Unified,District Office,All,RF,506,5,2,0,0.4,0,0,0,5,0,0
2024-25,D,30,73643,0,Orange,Tustin Unified,District Office,All,RH,10290,347,258,2,2.5,22,220,16,71,2,16
2024-25,D,30,73643,0,Orange,Tustin Unified,District Office,All,RI,29,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,73643,0,Orange,Tustin Unified,District Office,All,RP,67,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,73643,0,Orange,Tustin Unified,District Office,All,RT,1485,9,8,0,0.5,0,8,0,0,0,1
2024-25,D,30,73643,0,Orange,Tustin Unified,District Office,All,RW,4270,66,52,0,1.2,5,43,1,14,0,3
2024-25,D,30,73643,0,Orange,Tustin Unified,District Office,All,SD,3363,227,145,0,4.3,20,149,7,43,0,8
2024-25,D,30,73643,0,Orange,Tustin Unified,District Office,All,SE,3869,167,130,1,3.4,13,107,11,28,1,7
2024-25,D,30,73643,0,Orange,Tustin Unified,District Office,All,SF,168,22,19,1,11.3,2,13,1,4,1,1
2024-25,D,30,73643,0,Orange,Tustin Unified,District Office,All,SH,647,52,35,0,5.4,6,34,3,6,0,3
2024-25,D,30,73643,0,Orange,Tustin Unified,District Office,All,SS,12078,411,312,2,2.6,29,264,18,79,2,19
2024-25,D,30,73643,0,Orange,Tustin Unified,District Office,All,TA,22136,496,370,2,1.7,34,322,19,95,2,24
2024-25,D,30,73643,0,Orange,Tustin Unified,District Office,No,GF,10670,140,118,0,1.1,10,97,1,31,0,1
2024-25,D,30,73643,0,Orange,Tustin Unified,District Office,No,GM,11450,356,252,2,2.2,24,225,18,64,2,23
2024-25,D,30,73643,0,Orange,Tustin Unified,District Office,No,GX,16,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,73643,0,Orange,Tustin Unified,District Office,No,RA,5035,32,24,0,0.5,5,20,1,4,0,2
2024-25,D,30,73643,0,Orange,Tustin Unified,District Office,No,RB,338,35,24,0,7.1,2,30,1,0,0,2
2024-25,D,30,73643,0,Orange,Tustin Unified,District Office,No,RD,116,2,2,0,1.7,0,1,0,1,0,0
2024-25,D,30,73643,0,Orange,Tustin Unified,District Office,No,RF,506,5,2,0,0.4,0,0,0,5,0,0
2024-25,D,30,73643,0,Orange,Tustin Unified,District Office,No,RH,10290,347,258,2,2.5,22,220,16,71,2,16
2024-25,D,30,73643,0,Orange,Tustin Unified,District Office,No,RI,29,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,73643,0,Orange,Tustin Unified,District Office,No,RP,67,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,73643,0,Orange,Tustin Unified,District Office,No,RT,1485,9,8,0,0.5,0,8,0,0,0,1
2024-25,D,30,73643,0,Orange,Tustin Unified,District Office,No,RW,4270,66,52,0,1.2,5,43,1,14,0,3
2024-25,D,30,73643,0,Orange,Tustin Unified,District Office,No,SD,3363,227,145,0,4.3,20,149,7,43,0,8
2024-25,D,30,73643,0,Orange,Tustin Unified,District Office,No,SE,3869,167,130,1,3.4,13,107,11,28,1,7
2024-25,D,30,73643,0,Orange,Tustin Unified,District Office,No,SF,168,22,19,1,11.3,2,13,1,4,1,1
2024-25,D,30,73643,0,Orange,Tustin Unified,District Office,No,SH,647,52,35,0,5.4,6,34,3,6,0,3
2024-25,D,30,73643,0,Orange,Tustin Unified,District Office,No,SS,12078,411,312,2,2.6,29,264,18,79,2,19
2024-25,D,30,73643,0,Orange,Tustin Unified,District Office,No,TA,22136,496,370,2,1.7,34,322,19,95,2,24
2024-25,D,30,66746,0,Orange,Westminster,District Office,All,GF,3961,61,44,2,1.1,1,37,2,16,2,3
2024-25,D,30,66746,0,Orange,Westminster,District Office,All,GM,4220,186,124,15,2.9,10,126,11,11,18,10
2024-25,D,30,66746,0,Orange,Westminster,District Office,All,GX,*,*,*,*,*,*,*,*,*,*,*
2024-25,D,30,66746,0,Orange,Westminster,District Office,All,RA,2906,51,29,5,1.0,3,32,2,3,6,5
2024-25,D,30,66746,0,Orange,Westminster,District Office,All,RB,66,18,7,1,10.6,1,14,0,0,3,0
2024-25,D,30,66746,0,Orange,Westminster,District Office,All,RD,96,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,66746,0,Orange,Westminster,District Office,All,RF,91,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,66746,0,Orange,Westminster,District Office,All,RH,3826,156,114,9,3.0,5,102,8,24,9,8
2024-25,D,30,66746,0,Orange,Westminster,District Office,All,RI,14,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,66746,0,Orange,Westminster,District Office,All,RP,46,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,66746,0,Orange,Westminster,District Office,All,RT,285,6,3,0,1.1,1,4,1,0,0,0
2024-25,D,30,66746,0,Orange,Westminster,District Office,All,RW,853,16,15,2,1.8,1,11,2,0,2,0
2024-25,D,30,66746,0,Orange,Westminster,District Office,All,SD,1174,92,47,8,4.0,5,60,6,4,11,6
2024-25,D,30,66746,0,Orange,Westminster,District Office,All,SE,2649,103,70,6,2.6,5,72,4,9,6,7
2024-25,D,30,66746,0,Orange,Westminster,District Office,All,SF,63,7,5,0,7.9,0,6,0,1,0,0
2024-25,D,30,66746,0,Orange,Westminster,District Office,All,SH,717,38,25,4,3.5,2,27,0,4,4,1
2024-25,D,30,66746,0,Orange,Westminster,District Office,All,SS,6174,222,148,13,2.4,10,147,10,27,16,12
2024-25,D,30,66746,0,Orange,Westminster,District Office,All,TA,8183,247,168,17,2.1,11,163,13,27,20,13
2024-25,D,30,66746,0,Orange,Westminster,District Office,No,GF,3961,61,44,2,1.1,1,37,2,16,2,3
2024-25,D,30,66746,0,Orange,Westminster,District Office,No,GM,4220,186,124,15,2.9,10,126,11,11,18,10
2024-25,D,30,66746,0,Orange,Westminster,District Office,No,GX,*,*,*,*,*,*,*,*,*,*,*
2024-25,D,30,66746,0,Orange,Westminster,District Office,No,RA,2906,51,29,5,1.0,3,32,2,3,6,5
2024-25,D,30,66746,0,Orange,Westminster,District Office,No,RB,66,18,7,1,10.6,1,14,0,0,3,0
2024-25,D,30,66746,0,Orange,Westminster,District Office,No,RD,96,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,66746,0,Orange,Westminster,District Office,No,RF,91,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,66746,0,Orange,Westminster,District Office,No,RH,3826,156,114,9,3.0,5,102,8,24,9,8
2024-25,D,30,66746,0,Orange,Westminster,District Office,No,RI,14,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,66746,0,Orange,Westminster,District Office,No,RP,46,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,66746,0,Orange,Westminster,District Office,No,RT,285,6,3,0,1.1,1,4,1,0,0,0
2024-25,D,30,66746,0,Orange,Westminster,District Office,No,RW,853,16,15,2,1.8,1,11,2,0,2,0
2024-25,D,30,66746,0,Orange,Westminster,District Office,No,SD,1174,92,47,8,4.0,5,60,6,4,11,6
2024-25,D,30,66746,0,Orange,Westminster,District Office,No,SE,2649,103,70,6,2.6,5,72,4,9,6,7
2024-25,D,30,66746,0,Orange,Westminster,District Office,No,SF,63,7,5,0,7.9,0,6,0,1,0,0
2024-25,D,30,66746,0,Orange,Westminster,District Office,No,SH,717,38,25,4,3.5,2,27,0,4,4,1
2024-25,D,30,66746,0,Orange,Westminster,District Office,No,SS,6174,222,148,13,2.4,10,147,10,27,16,12
2024-25,D,30,66746,0,Orange,Westminster,District Office,No,TA,8183,247,168,17,2.1,11,163,13,27,20,13
2024-25,S,30,66423,6027288,Orange,Anaheim Elementary,Barton (Clara) Elementary,No,GF,336,3,3,0,0.9,0,0,0,3,0,0
2024-25,S,30,66423,6027288,Orange,Anaheim Elementary,Barton (Clara) Elementary,No,GM,310,1,1,0,0.3,0,1,0,0,0,0
2024-25,S,30,66423,6027288,Orange,Anaheim Elementary,Barton (Clara) Elementary,No,RA,71,0,0,0,0.0,0,0,0,0,0,0
2024-25,S,30,66423,6027288,Orange,Anaheim Elementary,Barton (Clara) Elementary,No,RB,12,0,0,0,0.0,0,0,0,0,0,0
2024-25,S,30,66423,6027288,Orange,Anaheim Elementary,Barton (Clara) Elementary,No,RD,12,0,0,0,0.0,0,0,0,0,0,0
2024-25,S,30,66423,6027288,Orange,Anaheim Elementary,Barton (Clara) Elementary,No,RF,21,0,0,0,0.0,0,0,0,0,0,0
2024-25,S,30,66423,6027288,Orange,Anaheim Elementary,Barton (Clara) Elementary,No,RH,463,4,4,0,0.9,0,1,0,3,0,0
2024-25,S,30,66423,6027288,Orange,Anaheim Elementary,Barton (Clara) Elementary,No,RI,*,*,*,*,*,*,*,*,*,*,*
2024-25,S,30,66423,6027288,Orange,Anaheim Elementary,Barton (Clara) Elementary,No,RP,11,0,0,0,0.0,0,0,0,0,0,0
2024-25,S,30,66423,6027288,Orange,Anaheim Elementary,Barton (Clara) Elementary,No,RT,18,0,0,0,0.0,0,0,0,0,0,0
2024-25,S,30,66423,6027288,Orange,Anaheim Elementary,Barton (Clara) Elementary,No,RW,38,0,0,0,0.0,0,0,0,0,0,0
2024-25,S,30,66423,6027288,Orange,Anaheim Elementary,Barton (Clara) Elementary,No,SD,84,1,1,0,1.2,0,1,0,0,0,0
2024-25,S,30,66423,6027288,Orange,Anaheim Elementary,Barton (Clara) Elementary,No,SE,250,2,2,0,0.8,0,1,0,1,0,0
2024-25,S,30,66423,6027288,Orange,Anaheim Elementary,Barton (Clara) Elementary,No,SF,19,0,0,0,0.0,0,0,0,0,0,0
2024-25,S,30,66423,6027288,Orange,Anaheim Elementary,Barton (Clara) Elementary,No,SH,76,0,0,0,0.0,0,0,0,0,0,0
2024-25,S,30,66423,6027288,Orange,Anaheim Elementary,Barton (Clara) Elementary,No,SM,*,*,*,*,*,*,*,*,*,*,*
2024-25,S,30,66423,6027288,Orange,Anaheim Elementary,Barton (Clara) Elementary,No,SS,545,4,4,0,0.7,0,1,0,3,0,0
2024-25,S,30,66423,6027288,Orange,Anaheim Elementary,Barton (Clara) Elementary,No,TA,646,4,4,0,0.6,0,1,0,3,0,0
