AcademicYear,AggregateLevel,CountyCode,DistrictCode,SchoolCode,CountyName,DistrictName,SchoolName,CharterYN,ReportingCategory,CumulativeEnrollment,Total Suspensions,Unduplicated Count of Students Suspended (Total),Unduplicated Count of Students Suspended (Defiance-Only),Suspension Rate (Total),Suspension Count Violent Incident (Injury),Suspension Count Violent Incident (No Injury),Suspension Count Weapons Possession,Suspension Count Illicit Drug-Related,Suspension Count Defiance-Only,Suspension Count Other Reasons
2024-25,D,30,66449,0,Orange,Brea-Olinda Unified,District Office,No,RP,22,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,66449,0,Orange,Brea-Olinda Unified,District Office,No,RT,322,5,4,0,1.2,1,4,0,0,0,0
2024-25,D,30,66449,0,Orange,Brea-Olinda Unified,District Office,No,RW,1217,21,19,1,1.6,1,19,0,0,1,0
2024-25,D,30,66449,0,Orange,Brea-Olinda Unified,District Office,No,SD,845,43,30,0,3.6,6,30,3,3,0,1
2024-25,D,30,66449,0,Orange,Brea-Olinda Unified,District Office,No,SE,539,25,18,1,3.3,4,12,3,2,1,3
2024-25,D,30,66449,0,Orange,Brea-Olinda Unified,District Office,No,SF,30,4,4,0,13.3,2,0,2,0,0,0
2024-25,D,30,66449,0,Orange,Brea-Olinda Unified,District Office,No,SH,206,3,3,0,1.5,0,3,0,0,0,0
2024-25,D,30,66449,0,Orange,Brea-Olinda Unified,District Office,No,SS,2548,96,74,2,2.9,15,50,5,18,2,6
2024-25,D,30,66449,0,Orange,Brea-Olinda Unified,District Office,No,TA,5916,128,102,4,1.7,17,74,5,22,4,6
2024-25,D,30,66456,0,Orange,Buena Park Elementary,District Office,All,GF,1858,12,12,0,0.6,0,9,1,2,0,0
2024-25,D,30,66456,0,Orange,Buena Park Elementary,District Office,All,GM,2077,79,46,0,2.2,3,65,6,4,0,1
2024-25,D,30,66456,0,Orange,Buena Park Elementary,District Office,All,RA,685,4,3,0,0.4,0,4,0,0,0,0
2024-25,D,30,66456,0,Orange,Buena Park Elementary,District Office,All,RB,132,6,3,0,2.3,0,6,0,0,0,0
2024-25,D,30,66456,0,Orange,Buena Park Elementary,District Office,All,RD,50,1,1,0,2.0,0,1,0,0,0,0
2024-25,D,30,66456,0,Orange,Buena Park Elementary,District Office,All,RF,165,2,2,0,1.2,0,1,1,0,0,0
2024-25,D,30,66456,0,Orange,Buena Park Elementary,District Office,All,RH,2597,68,41,0,1.6,2,54,6,5,0,1
2024-25,D,30,66456,0,Orange,Buena Park Elementary,District Office,All,RI,*,*,*,*,*,*,*,*,*,*,*
2024-25,D,30,66456,0,Orange,Buena Park Elementary,District Office,All,RP,20,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,66456,0,Orange,Buena Park Elementary,District Office,All,RT,104,2,2,0,1.9,0,2,0,0,0,0
2024-25,D,30,66456,0,Orange,Buena Park Elementary,District Office,All,RW,176,8,6,0,3.4,1,6,0,1,0,0
2024-25,D,30,66456,0,Orange,Buena Park Elementary,District Office,All,SD,698,49,26,0,3.7,1,42,1,4,0,1
2024-25,D,30,66456,0,Orange,Buena Park Elementary,District Office,All,SE,1119,29,17,0,1.5,1,22,3,3,0,0
2024-25,D,30,66456,0,Orange,Buena Park Elementary,District Office,All,SF,51,4,1,0,2.0,1,3,0,0,0,0
2024-25,D,30,66456,0,Orange,Buena Park Elementary,District Office,All,SH,308,17,10,0,3.2,2,11,2,2,0,0
2024-25,D,30,66456,0,Orange,Buena Park Elementary,District Office,All,SS,3221,89,56,0,1.7,3,73,6,6,0,1
2024-25,D,30,66456,0,Orange,Buena Park Elementary,District Office,All,TA,3935,91,58,0,1.5,3,74,7,6,0,1
2024-25,D,30,66456,0,Orange,Buena Park Elementary,District Office,No,GF,1858,12,12,0,0.6,0,9,1,2,0,0
2024-25,D,30,66456,0,Orange,Buena Park Elementary,District Office,No,GM,2077,79,46,0,2.2,3,65,6,4,0,1
2024-25,D,30,66456,0,Orange,Buena Park Elementary,District Office,No,RA,685,4,3,0,0.4,0,4,0,0,0,0
2024-25,D,30,66456,0,Orange,Buena Park Elementary,District Office,No,RB,132,6,3,0,2.3,0,6,0,0,0,0
2024-25,D,30,66456,0,Orange,Buena Park Elementary,District Office,No,RD,50,1,1,0,2.0,0,1,0,0,0,0
2024-25,D,30,66456,0,Orange,Buena Park Elementary,District Office,No,RF,165,2,2,0,1.2,0,1,1,0,0,0
2024-25,D,30,66456,0,Orange,Buena Park Elementary,District Office,No,RH,2597,68,41,0,1.6,2,54,6,5,0,1
2024-25,D,30,66456,0,Orange,Buena Park Elementary,District Office,No,RI,*,*,*,*,*,*,*,*,*,*,*
2024-25,D,30,66456,0,Orange,Buena Park Elementary,District Office,No,RP,20,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,66456,0,Orange,Buena Park Elementary,District Office,No,RT,104,2,2,0,1.9,0,2,0,0,0,0
2024-25,D,30,66456,0,Orange,Buena Park Elementary,District Office,No,RW,176,8,6,0,3.4,1,6,0,1,0,0
2024-25,D,30,66456,0,Orange,Buena Park Elementary,District Office,No,SD,698,49,26,0,3.7,1,42,1,4,0,1
2024-25,D,30,66456,0,Orange,Buena Park Elementary,District Office,No,SE,1119,29,17,0,1.5,1,22,3,3,0,0
2024-25,D,30,66456,0,Orange,Buena Park Elementary,District Office,No,SF,51,4,1,0,2.0,1,3,0,0,0,0
2024-25,D,30,66456,0,Orange,Buena Park Elementary,District Office,No,SH,308,17,10,0,3.2,2,11,2,2,0,0
2024-25,D,30,66456,0,Orange,Buena Park Elementary,District Office,No,SS,3221,89,56,0,1.7,3,73,6,6,0,1
2024-25,D,30,66456,0,Orange,Buena Park Elementary,District Office,No,TA,3935,91,58,0,1.5,3,74,7,6,0,1
2024-25,D,30,66464,0,Orange,Capistrano Unified,District Office,All,GF,24040,230,172,3,0.7,12,148,3,56,3,8
2024-25,D,30,66464,0,Orange,Capistrano Unified,District Office,All,GM,25487,1017,629,13,2.5,60,792,31,80,14,40
2024-25,D,30,66464,0,Orange,Capistrano Unified,District Office,All,GX,88,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,66464,0,Orange,Capistrano Unified,District Office,All,RA,3583,56,36,0,1.0,1,48,2,2,0,3
2024-25,D,30,66464,0,Orange,Capistrano Unified,District Office,All,RB,1063,13,8,0,0.8,0,11,0,2,0,0
2024-25,D,30,66464,0,Orange,Capistrano Unified,District Office,All,RD,2033,86,50,2,2.5,9,64,3,5,2,3
2024-25,D,30,66464,0,Orange,Capistrano Unified,District Office,All,RF,805,6,5,0,0.6,0,5,0,1,0,0
2024-25,D,30,66464,0,Orange,Capistrano Unified,District Office,All,RH,14032,511,329,7,2.3,17,370,14,88,8,14
2024-25,D,30,66464,0,Orange,Capistrano Unified,District Office,All,RI,101,3,3,0,3.0,0,2,0,1,0,0
2024-25,D,30,66464,0,Orange,Capistrano Unified,District Office,All,RP,88,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,66464,0,Orange,Capistrano Unified,District Office,All,RT,4014,55,43,1,1.1,4,38,3,5,1,4
2024-25,D,30,66464,0,Orange,Capistrano Unified,District Office,All,RW,23896,517,327,6,1.4,41,402,12,32,6,24
2024-25,D,30,66464,0,Orange,Capistrano Unified,District Office,All,SD,8248,665,353,5,4.3,59,497,15,62,6,26
2024-25,D,30,66464,0,Orange,Capistrano Unified,District Office,All,SE,4368,255,164,3,3.8,3,187,5,47,4,9
2024-25,D,30,66464,0,Orange,Capistrano Unified,District Office,All,SF,147,6,4,0,2.7,0,6,0,0,0,0
2024-25,D,30,66464,0,Orange,Capistrano Unified,District Office,All,SH,3929,249,155,4,3.9,4,176,12,46,5,6
2024-25,D,30,66464,0,Orange,Capistrano Unified,District Office,All,SM,14,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,66464,0,Orange,Capistrano Unified,District Office,All,SS,19349,758,481,10,2.5,25,581,20,94,11,27
2024-25,D,30,66464,0,Orange,Capistrano Unified,District Office,All,TA,49615,1247,801,16,1.6,72,940,34,136,17,48
2024-25,D,30,66464,0,Orange,Capistrano Unified,District Office,No,GF,19908,230,172,3,0.9,12,148,3,56,3,8
2024-25,D,30,66464,0,Orange,Capistrano Unified,District Office,No,GM,21422,992,611,13,2.9,54,778,29,79,14,38
2024-25,D,30,66464,0,Orange,Capistrano Unified,District Office,No,GX,38,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,66464,0,Orange,Capistrano Unified,District Office,No,RA,3019,56,36,0,1.2,1,48,2,2,0,3
2024-25,D,30,66464,0,Orange,Capistrano Unified,District Office,No,RB,308,13,8,0,2.6,0,11,0,2,0,0
2024-25,D,30,66464,0,Orange,Capistrano Unified,District Office,No,RD,1928,86,50,2,2.6,9,64,3,5,2,3
2024-25,D,30,66464,0,Orange,Capistrano Unified,District Office,No,RF,662,6,5,0,0.8,0,5,0,1,0,0
2024-25,D,30,66464,0,Orange,Capistrano Unified,District Office,No,RH,11251,510,328,7,2.9,16,370,14,88,8,14
2024-25,D,30,66464,0,Orange,Capistrano Unified,District Office,No,RI,57,3,3,0,5.3,0,2,0,1,0,0
2024-25,D,30,66464,0,Orange,Capistrano Unified,District Office,No,RP,64,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,66464,0,Orange,Capistrano Unified,District Office,No,RT,3071,51,41,1,1.3,4,35,2,5,1,4
2024-25,D,30,66464,0,Orange,Capistrano Unified,District Office,No,RW,21008,497,312,6,1.5,36,391,11,31,6,22
2024-25,D,30,66464,0,Orange,Capistrano Unified,District Office,No,SD,6836,655,347,5,5.1,55,493,15,61,6,25
