AcademicYear,AggregateLevel,CountyCode,DistrictCode,SchoolCode,CountyName,DistrictName,SchoolName,CharterSchool,DASS,ReportingCategory,CohortStudents,Regular HS Diploma Graduates (Count),Regular HS Diploma Graduates (Rate),Met UC/CSU Grad Req's (Count),Met UC/CSU Grad Req's (Rate),Seal of Biliteracy (Count),Seal of Biliteracy (Rate),Golden State Seal Merit Diploma (Count),Golden State Seal Merit Diploma (Rate,Graduates Meeting Local Requirements Exemption (Count),Graduates Meeting Local Requirements Exemption (Rate),CPP Completer (Count),CPP Completer (Rate),Adult Ed. HS Diploma (Count),Adult Ed. HS Diploma (Rate),SPED Certificate (Count),SPED Certificate (Rate),GED Completer (Count),GED Completer (Rate),Other Transfer (Count),Other Transfer (Rate),Dropout (Count),Dropout (Rate),Still Enrolled (Count),Still Enrolled (Rate)
2024-25,C,30,,,Orange,"","",Yes,No,RF,27,26,96.3,19,73.1,6,23.1,13,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,3.7,0,0.0
2024-25,C,30,,,Orange,"","",Yes,No,RH,840,746,88.8,453,60.7,188,25.2,204,27.3,3,0.4,0,0.0,0,0.0,3,0.4,0,0.0,2,0.2,85,10.1,4,0.5
2024-25,C,30,,,Orange,"","",Yes,No,RI,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2024-25,C,30,,,Orange,"","",Yes,No,RP,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2024-25,C,30,,,Orange,"","",Yes,No,RT,142,117,82.4,61,52.1,21,17.9,35,29.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,25,17.6,0,0.0
2024-25,C,30,,,Orange,"","",Yes,No,RW,489,422,86.3,175,41.5,61,14.5,106,25.1,0,0.0,3,0.6,0,0.0,2,0.4,2,0.4,0,0.0,60,12.3,0,0.0
2024-25,C,30,,,Orange,"","",Yes,No,SD,278,212,76.3,74,34.9,8,3.8,23,10.8,1,0.5,1,0.4,0,0.0,5,1.8,0,0.0,0,0.0,59,21.2,1,0.4
2024-25,C,30,,,Orange,"","",Yes,No,SE,225,200,88.9,111,55.5,28,14.0,37,18.5,2,1.0,1,0.4,0,0.0,1,0.4,0,0.0,0,0.0,21,9.3,2,0.9
2024-25,C,30,,,Orange,"","",Yes,No,SF,17,13,76.5,6,46.2,3,23.1,1,7.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,23.5,0,0.0
2024-25,C,30,,,Orange,"","",Yes,No,SH,91,73,80.2,28,38.4,6,8.2,8,11.0,0,0.0,0,0.0,0,0.0,2,2.2,0,0.0,1,1.1,15,16.5,0,0.0
2024-25,C,30,,,Orange,"","",Yes,No,SM,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2024-25,C,30,,,Orange,"","",Yes,No,SS,1116,955,85.6,482,50.5,164,17.2,208,21.8,3,0.3,2,0.2,0,0.0,4,0.4,1,0.1,4,0.4,146,13.1,4,0.4
2024-25,C,30,,,Orange,"","",Yes,No,TA,1787,1568,87.7,894,57.0,362,23.1,503,32.1,3,0.2,4,0.2,0,0.0,5,0.3,2,0.1,4,0.2,200,11.2,4,0.2
2024-25,C,30,,,Orange,"","",Yes,Yes,GF,117,44,37.6,12,27.3,0,0.0,1,2.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.9,21,17.9,51,43.6
2024-25,C,30,,,Orange,"","",Yes,Yes,GM,148,62,41.9,12,19.4,1,1.6,2,3.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,1.4,30,20.3,54,36.5
2024-25,C,30,,,Orange,"","",Yes,Yes,GX,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2024-25,C,30,,,Orange,"","",Yes,Yes,RA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2024-25,C,30,,,Orange,"","",Yes,Yes,RB,11,6,54.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,18.2,3,27.3
2024-25,C,30,,,Orange,"","",Yes,Yes,RD,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2024-25,C,30,,,Orange,"","",Yes,Yes,RF,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2024-25,C,30,,,Orange,"","",Yes,Yes,RH,154,55,35.7,4,7.3,1,1.8,1,1.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,26,16.9,73,47.4
2024-25,C,30,,,Orange,"","",Yes,Yes,RI,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2024-25,C,30,,,Orange,"","",Yes,Yes,RP,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2024-25,C,30,,,Orange,"","",Yes,Yes,RT,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
