Academic Year,Aggregate Level,County Code,District Code,School Code,County Name,District Name,School Name,Charter School,DASS,Reporting Category,ChronicAbsenteeismEligibleCumulativeEnrollment,ChronicAbsenteeismCount,ChronicAbsenteeismRate
2024-25,D,30,66423,0,Orange,Anaheim Elementary,District Office,All,All,GRTKKN,2962,876,29.6
2024-25,D,30,66423,0,Orange,Anaheim Elementary,District Office,All,All,RA,705,78,11.1
2024-25,D,30,66423,0,Orange,Anaheim Elementary,District Office,All,All,RB,217,69,31.8
2024-25,D,30,66423,0,Orange,Anaheim Elementary,District Office,All,All,RD,361,89,24.7
2024-25,D,30,66423,0,Orange,Anaheim Elementary,District Office,All,All,RF,240,20,8.3
2024-25,D,30,66423,0,Orange,Anaheim Elementary,District Office,All,All,RH,12484,2689,21.5
2024-25,D,30,66423,0,Orange,Anaheim Elementary,District Office,All,All,RI,19,5,26.3
2024-25,D,30,66423,0,Orange,Anaheim Elementary,District Office,All,All,RP,48,13,27.1
2024-25,D,30,66423,0,Orange,Anaheim Elementary,District Office,All,All,RT,219,39,17.8
2024-25,D,30,66423,0,Orange,Anaheim Elementary,District Office,All,All,RW,614,130,21.2
2024-25,D,30,66423,0,Orange,Anaheim Elementary,District Office,All,All,SD,2674,678,25.4
2024-25,D,30,66423,0,Orange,Anaheim Elementary,District Office,All,All,SE,6049,1205,19.9
2024-25,D,30,66423,0,Orange,Anaheim Elementary,District Office,All,All,SF,162,47,29.0
2024-25,D,30,66423,0,Orange,Anaheim Elementary,District Office,All,All,SH,1817,534,29.4
2024-25,D,30,66423,0,Orange,Anaheim Elementary,District Office,All,All,SM,17,6,35.3
2024-25,D,30,66423,0,Orange,Anaheim Elementary,District Office,All,All,SS,12753,2807,22.0
2024-25,D,30,66423,0,Orange,Anaheim Elementary,District Office,All,All,TA,14907,3132,21.0
2024-25,D,30,66423,0,Orange,Anaheim Elementary,District Office,No,All,GF,7091,1445,20.4
2024-25,D,30,66423,0,Orange,Anaheim Elementary,District Office,No,All,GM,7264,1534,21.1
2024-25,D,30,66423,0,Orange,Anaheim Elementary,District Office,No,All,GR13,5545,1032,18.6
2024-25,D,30,66423,0,Orange,Anaheim Elementary,District Office,No,All,GR46,5952,1104,18.5
2024-25,D,30,66423,0,Orange,Anaheim Elementary,District Office,No,All,GRTK8,14355,2979,20.8
2024-25,D,30,66423,0,Orange,Anaheim Elementary,District Office,No,All,GRTKKN,2858,843,29.5
2024-25,D,30,66423,0,Orange,Anaheim Elementary,District Office,No,All,RA,689,75,10.9
2024-25,D,30,66423,0,Orange,Anaheim Elementary,District Office,No,All,RB,199,63,31.7
2024-25,D,30,66423,0,Orange,Anaheim Elementary,District Office,No,All,RD,329,78,23.7
2024-25,D,30,66423,0,Orange,Anaheim Elementary,District Office,No,All,RF,226,19,8.4
2024-25,D,30,66423,0,Orange,Anaheim Elementary,District Office,No,All,RH,12068,2569,21.3
2024-25,D,30,66423,0,Orange,Anaheim Elementary,District Office,No,All,RI,18,4,22.2
2024-25,D,30,66423,0,Orange,Anaheim Elementary,District Office,No,All,RP,48,13,27.1
2024-25,D,30,66423,0,Orange,Anaheim Elementary,District Office,No,All,RT,206,36,17.5
2024-25,D,30,66423,0,Orange,Anaheim Elementary,District Office,No,All,RW,572,122,21.3
2024-25,D,30,66423,0,Orange,Anaheim Elementary,District Office,No,All,SD,2581,649,25.1
2024-25,D,30,66423,0,Orange,Anaheim Elementary,District Office,No,All,SE,5875,1154,19.6
2024-25,D,30,66423,0,Orange,Anaheim Elementary,District Office,No,All,SF,159,47,29.6
2024-25,D,30,66423,0,Orange,Anaheim Elementary,District Office,No,All,SH,1813,533,29.4
2024-25,D,30,66423,0,Orange,Anaheim Elementary,District Office,No,All,SM,17,6,35.3
2024-25,D,30,66423,0,Orange,Anaheim Elementary,District Office,No,All,SS,12296,2665,21.7
2024-25,D,30,66423,0,Orange,Anaheim Elementary,District Office,No,All,TA,14355,2979,20.8
2024-25,D,30,66423,0,Orange,Anaheim Elementary,District Office,Yes,All,GF,269,85,31.6
2024-25,D,30,66423,0,Orange,Anaheim Elementary,District Office,Yes,All,GM,285,70,24.6
2024-25,D,30,66423,0,Orange,Anaheim Elementary,District Office,Yes,All,GR13,216,56,25.9
2024-25,D,30,66423,0,Orange,Anaheim Elementary,District Office,Yes,All,GR46,233,65,27.9
2024-25,D,30,66423,0,Orange,Anaheim Elementary,District Office,Yes,All,GRTK8,554,155,28.0
2024-25,D,30,66423,0,Orange,Anaheim Elementary,District Office,Yes,All,GRTKKN,105,34,32.4
2024-25,D,30,66423,0,Orange,Anaheim Elementary,District Office,Yes,All,RA,16,3,18.8
2024-25,D,30,66423,0,Orange,Anaheim Elementary,District Office,Yes,All,RB,18,6,33.3
2024-25,D,30,66423,0,Orange,Anaheim Elementary,District Office,Yes,All,RD,33,12,36.4
2024-25,D,30,66423,0,Orange,Anaheim Elementary,District Office,Yes,All,RF,14,1,7.1
