cds,county,district,school,el_count,reclass_count,year,reclass_rate,org_level_num,county_code,district_code,school_code,charter_num,dass_num
30664313038239,Orange,Anaheim Union High,Western High,413,72,19,0.174334140435835,4,30,66431,3038239,,
30664313038239,Orange,Anaheim Union High,Western High,308,100,20,0.324675324675325,4,30,66431,3038239,,
30664313038239,Orange,Anaheim Union High,Western High,345,24,21,0.0695652173913044,4,30,66431,3038239,,
30664313038239,Orange,Anaheim Union High,Western High,341,36,25,0.105571847507331,4,30,66431,3038239,0,0
30664316058812,Orange,Anaheim Union High,Brookhurst Junior High,264,41,19,0.15530303030303,4,30,66431,6058812,,
30664316058812,Orange,Anaheim Union High,Brookhurst Junior High,278,78,20,0.280575539568345,4,30,66431,6058812,,
30664316058812,Orange,Anaheim Union High,Brookhurst Junior High,298,26,21,0.087248322147651,4,30,66431,6058812,,
30664316058812,Orange,Anaheim Union High,Brookhurst Junior High,181,40,25,0.220994475138122,4,30,66431,6058812,0,0
30664316058820,Orange,Anaheim Union High,Dale Junior High,384,32,19,0.0833333333333333,4,30,66431,6058820,,
30664316058820,Orange,Anaheim Union High,Dale Junior High,351,79,20,0.225071225071225,4,30,66431,6058820,,
30664316058820,Orange,Anaheim Union High,Dale Junior High,310,35,21,0.112903225806452,4,30,66431,6058820,,
30664316058820,Orange,Anaheim Union High,Dale Junior High,323,59,25,0.18266253869969,4,30,66431,6058820,0,0
30664316058861,Orange,Anaheim Union High,Orangeview Junior High,295,124,19,0.420338983050847,4,30,66431,6058861,,
30664316058861,Orange,Anaheim Union High,Orangeview Junior High,305,53,20,0.173770491803279,4,30,66431,6058861,,
30664316058861,Orange,Anaheim Union High,Orangeview Junior High,246,77,21,0.313008130081301,4,30,66431,6058861,,
30664316058861,Orange,Anaheim Union High,Orangeview Junior High,165,21,25,0.127272727272727,4,30,66431,6058861,0,0
30664316058887,Orange,Anaheim Union High,South Junior High,428,35,19,0.0817757009345794,4,30,66431,6058887,,
30664316058887,Orange,Anaheim Union High,South Junior High,410,113,20,0.275609756097561,4,30,66431,6058887,,
30664316058887,Orange,Anaheim Union High,South Junior High,494,9,21,0.0182186234817814,4,30,66431,6058887,,
30664316058887,Orange,Anaheim Union High,South Junior High,347,55,25,0.15850144092219,4,30,66431,6058887,0,0
30664316058895,Orange,Anaheim Union High,Sycamore Junior High,465,60,19,0.129032258064516,4,30,66431,6058895,,
30664316058895,Orange,Anaheim Union High,Sycamore Junior High,427,150,20,0.351288056206089,4,30,66431,6058895,,
30664316058895,Orange,Anaheim Union High,Sycamore Junior High,486,55,21,0.113168724279835,4,30,66431,6058895,,
